2026-03-11 11:00:05 | ERROR    | app.llm_hub.providers.openai:chat:216 - [31mOpenAI 对话请求失败: RateLimitError: Error code: 429 - {'extend_fields': {'traceId': '2107331d17731980059332847e0d53', 'requestId': '698b93abfba6b18b5ad61a33a37e232d'}, 'error_code': 429, 'message': 'Throttling: Throttling.AllocationQuota: Allocated quota exceeded, please increase your quota limit. For details, see: https://help.aliyun.com/zh/model-studio/error-code#token-limit, dash_request_id: 0f2786c7-7b4a-4da4-aec5-c15efec55a20'}[0m
2026-03-11 15:19:18 | ERROR    | app.tools.builtin.http:execute:580 - [31m[HTTPRequestTool] 连接失败: https://api.email-service.com/send — [0m
2026-03-11 15:32:37 | ERROR    | app.tools.builtin.http:execute:580 - [31m[HTTPRequestTool] 连接失败: https://api.email-service.com/send — [0m
2026-03-11 15:33:28 | ERROR    | app.llm_hub.tool_gateway:_execute_single_call:510 - [31m工具调用失败: python_executor, name 'Fore' is not defined[0m
2026-03-11 15:34:28 | ERROR    | app.tools.builtin.http:execute:580 - [31m[HTTPRequestTool] 连接失败: https://api.email-service.com/send — [0m
2026-03-11 15:36:29 | ERROR    | app.llm_hub.tool_gateway:_execute_single_call:510 - [31m工具调用失败: python_executor, name 'Fore' is not defined[0m
2026-03-11 15:37:21 | ERROR    | app.agents.execution:_execute_step:751 - [31m执行步骤时发生错误 (action=tool): MessageAgentTool.update_context() got an unexpected keyword argument 'pending_confirmations'[0m
2026-03-11 15:47:08 | ERROR    | app.llm_hub.tool_gateway:_execute_single_call:510 - [31m工具调用失败: python_executor, name 'Fore' is not defined[0m
2026-03-11 15:47:29 | ERROR    | app.llm_hub.tool_gateway:_execute_single_call:510 - [31m工具调用失败: python_executor, name 'Fore' is not defined[0m
2026-03-11 17:20:36 | ERROR    | app.api.endpoints.agents:generate_stream:287 - [31m【Agent流式接口】Agent 流式执行失败: Object of type Event is not JSON serializable[0m
2026-03-11 17:43:55 | ERROR    | app.llm_hub.tool_gateway:_execute_single_call:494 - [31m工具调用超时: python_executor (>30.0s)[0m
2026-03-11 18:10:38 | ERROR    | app.agents.execution:_execute_step:751 - [31m执行步骤时发生错误 (action=tool): MessageAgentTool.update_context() got an unexpected keyword argument 'pending_confirmations'[0m
2026-03-11 18:28:58 | ERROR    | app.tools.builtin.http:execute:580 - [31m[HTTPRequestTool] 连接失败: https://api.email-service.com/send — [0m
2026-03-11 18:33:07 | ERROR    | app.agents.execution:_execute_step:751 - [31m执行步骤时发生错误 (action=tool): MessageAgentTool.update_context() got an unexpected keyword argument 'pending_confirmations'[0m
2026-03-11 18:34:07 | ERROR    | app.agents.child_agent_manager:delegate_task:132 - [31m检测到循环依赖: order_agent 已在调用链中[0m
2026-03-11 18:34:07 | ERROR    | app.agents.child_agent_manager:delegate_task:133 - [31m当前调用链: general_agent -> order_agent[0m
2026-03-11 18:34:24 | ERROR    | app.agents.child_agent_manager:delegate_task:132 - [31m检测到循环依赖: general_agent 已在调用链中[0m
2026-03-11 18:34:24 | ERROR    | app.agents.child_agent_manager:delegate_task:133 - [31m当前调用链: general_agent -> order_agent[0m
2026-03-11 22:25:32 | ERROR    | app.tools.builtin.http:execute:580 - [31m[HTTPRequestTool] 连接失败: https://api.email-service.com/send — [0m
2026-03-11 22:27:09 | ERROR    | app.agents.execution:_execute_step:751 - [31m执行步骤时发生错误 (action=tool): MessageAgentTool.update_context() got an unexpected keyword argument 'pending_confirmations'[0m
2026-03-11 22:40:23 | ERROR    | app.llm_hub.providers.openai:chat:216 - [31mOpenAI 对话请求失败: RateLimitError: Error code: 429 - {'extend_fields': {'traceId': '0bf8c01517732400239181079e10c5', 'requestId': '0f1ce3b2e81a2c6f660117410cf46f81'}, 'error_code': 429, 'message': 'Throttling: Throttling.AllocationQuota: Allocated quota exceeded, please increase your quota limit. For details, see: https://help.aliyun.com/zh/model-studio/error-code#token-limit, dash_request_id: bb2a13f9-dfb8-48e4-a019-e896db786396'}[0m
2026-03-11 22:40:23 | ERROR    | app.llm_hub.inference:infer:334 - [31m[req-000030] 推理请求失败: Error code: 429 - {'extend_fields': {'traceId': '0bf8c01517732400239181079e10c5', 'requestId': '0f1ce3b2e81a2c6f660117410cf46f81'}, 'error_code': 429, 'message': 'Throttling: Throttling.AllocationQuota: Allocated quota exceeded, please increase your quota limit. For details, see: https://help.aliyun.com/zh/model-studio/error-code#token-limit, dash_request_id: bb2a13f9-dfb8-48e4-a019-e896db786396'}[0m
2026-03-11 22:40:23 | ERROR    | app.agents.execution:_execute_skill:1413 - [31m技能 text_writing 执行失败: Error code: 429 - {'extend_fields': {'traceId': '0bf8c01517732400239181079e10c5', 'requestId': '0f1ce3b2e81a2c6f660117410cf46f81'}, 'error_code': 429, 'message': 'Throttling: Throttling.AllocationQuota: Allocated quota exceeded, please increase your quota limit. For details, see: https://help.aliyun.com/zh/model-studio/error-code#token-limit, dash_request_id: bb2a13f9-dfb8-48e4-a019-e896db786396'}[0m
2026-03-11 22:42:35 | ERROR    | app.llm_hub.providers.openai:chat:216 - [31mOpenAI 对话请求失败: RateLimitError: Error code: 429 - {'extend_fields': {'traceId': '213fecfc17732401559127121e0f0b', 'requestId': '1f63a5e0ac3e54bcc4eebcc1d5d198b9'}, 'error_code': 429, 'message': 'Throttling: Throttling.AllocationQuota: Allocated quota exceeded, please increase your quota limit. For details, see: https://help.aliyun.com/zh/model-studio/error-code#token-limit, dash_request_id: e4fa5bec-c0b1-4440-9ea3-8d3eaeb09148'}[0m
2026-03-11 22:42:35 | ERROR    | app.llm_hub.inference:infer:334 - [31m[req-000039] 推理请求失败: Error code: 429 - {'extend_fields': {'traceId': '213fecfc17732401559127121e0f0b', 'requestId': '1f63a5e0ac3e54bcc4eebcc1d5d198b9'}, 'error_code': 429, 'message': 'Throttling: Throttling.AllocationQuota: Allocated quota exceeded, please increase your quota limit. For details, see: https://help.aliyun.com/zh/model-studio/error-code#token-limit, dash_request_id: e4fa5bec-c0b1-4440-9ea3-8d3eaeb09148'}[0m
2026-03-11 22:42:35 | ERROR    | app.agents.reflection:reflect:217 - [31m反思失败（LLM 调用异常）: Error code: 429 - {'extend_fields': {'traceId': '213fecfc17732401559127121e0f0b', 'requestId': '1f63a5e0ac3e54bcc4eebcc1d5d198b9'}, 'error_code': 429, 'message': 'Throttling: Throttling.AllocationQuota: Allocated quota exceeded, please increase your quota limit. For details, see: https://help.aliyun.com/zh/model-studio/error-code#token-limit, dash_request_id: e4fa5bec-c0b1-4440-9ea3-8d3eaeb09148'}[0m
